,CD44,TACSTD2,S100A14,RHOD,S100A4,S100A8,S100A9,OCIAD2,AXL,L1CAM,VIM,FN1,ZEB1,ZEB2,SNAI1,SNAI2,TWIST1,ITGA5,ITGB1,CXCR4,GENE000,GENE001,GENE002,GENE003,GENE004,GENE005,GENE006,GENE007,GENE008,GENE009,GENE010,GENE011,GENE012,GENE013,GENE014,GENE015,GENE016,GENE017,GENE018,GENE019,GENE020,GENE021,GENE022,GENE023,GENE024,GENE025,GENE026,GENE027,GENE028,GENE029,GENE030,GENE031,GENE032,GENE033,GENE034,GENE035,GENE036,GENE037,GENE038,GENE039,GENE040,GENE041,GENE042,GENE043,GENE044,GENE045,GENE046,GENE047,GENE048,GENE049,GENE050,GENE051,GENE052,GENE053,GENE054,GENE055,GENE056,GENE057,GENE058,GENE059,GENE060,GENE061,GENE062,GENE063,GENE064,GENE065,GENE066,GENE067,GENE068,GENE069,GENE070,GENE071,GENE072,GENE073,GENE074,GENE075,GENE076,GENE077,GENE078,GENE079
P000,0.693577826923295,0.8031646816680165,0.601794919114067,0.4292538149096869,0.5466212606073074,0.40513008443254594,0.7144189818506893,1.2684258195749991,0.535640946891071,0.49937849824506536,0.8792171059253935,0.8258387412260866,0.7307226333890654,0.419600170630727,0.6829614515156739,0.9658266606196291,0.32948850969458443,0.5457536930924305,0.23447984194497012,0.34038099056556187,0.2433281338497382,0.6142466270018401,0.3448669290545788,0.7925899928205006,0.7495142743262272,0.6298600944182647,0.15849594671316378,0.5222744876490641,0.6763159236797492,0.7335915038505582,0.2946326980683831,0.5398490687433551,0.4082004985019373,0.4496009228593524,1.1318707290665637,0.4499311956123753,0.681829364184339,1.0498440288231514,0.5096046657184468,0.6548155397885344,0.7325568370982317,0.7157199528834368,0.35361357611209043,0.7201513059202534,1.2778048624319553,0.2916077325594069,1.0385005443000135,0.7357933656387087,0.4936270199151516,1.6206513193990857,0.9951124308407275,0.3590200202790953,0.7195679230171912,0.9152216734297645,0.6292547200416441,0.9604628058008802,0.6701370979552865,0.9537091773546633,1.3183588706526121,0.4843704114380665,0.7667710669654098,0.5440798622443623,0.7386828780576317,0.3615812777220554,0.5108072202425314,0.6268344271672661,1.0563957824051275,1.172243146338057,0.33357458677667917,0.4532104830574653,0.9449794715069266,0.22146928838521457,0.5441203143786424,0.6596763602733748,1.2269128290225035,0.963271138021584,0.5851661509604951,0.5724433431185687,0.6094080117180197,1.3622854497472954,0.5545180551998169,0.5924970249824728,0.8241486469903625,0.6517706207744335,0.6264797241557108,0.3773921596237898,0.6891227973082461,0.5498974595126458,1.1823682874705885,0.9476284093324607,0.684732619067076,0.9541969621590558,0.5812512824944587,1.1277141714492194,0.6912591200832091,0.9180332665375806,0.34010733785128167,0.8218286617857058,0.2675382825825202,0.21557364885156358
P001,0.5922478111334317,0.42697790008865427,0.7522131949056208,1.760104280395319,0.44382934260874984,0.4984247416662462,0.7676205240809728,0.8805160881181608,0.6333098926006095,0.6236667663524621,0.9689336066890792,0.8915804009390331,0.39542564996091395,0.6658176878724512,0.7055738418061162,0.39069154017788726,0.7882205548316933,0.4372861767994456,1.0901632463469983,0.7628820240429192,0.7248928795175174,0.5075319005749278,0.6524951775994805,0.2207296811505819,0.3735923267459338,0.8281832575536402,0.20324557111192035,1.032733082983774,0.2581720133018742,0.9926780888726695,0.4403841956424134,1.0025106569842999,0.7400300640901064,0.2934380697163718,1.2230240580017804,1.319992077438604,0.6703806700104945,0.6018650577795395,0.6387583199494897,0.4089909855429546,1.1498219749416376,0.52107972384951,0.6753910306055467,0.45355392880998324,0.497839903192637,0.34277357497723027,1.2269397128029331,0.6406700830673902,1.0873097696315184,0.697821664064245,0.47935420353733793,0.5853299453893438,0.5161682291329374,0.6959367452893118,0.5704046437243646,0.5936741144006047,0.3227950803696159,0.45010590926057537,1.4310409708589473,0.48556180960207274,0.3907800285219225,0.818164844811214,1.3023839014002523,0.3085010760898063,0.6228254061274872,0.4962005680562247,0.25580470397508676,0.9830952112733915,0.684975472748679,0.7184644096398528,0.4641106645081828,0.8649367552874039,0.5221023722764048,0.6443813427069291,0.37867161093992063,0.355484379822783,1.2660706545907778,0.5313292815027365,0.8004372714845729,0.6813904616118897,0.5506191046730643,0.531082271916619,0.9377980085616547,0.5930645140662184,0.6415460260779188,0.7009549703763499,1.187412752459427,0.9594264071322376,0.835996562178245,0.5152261154500644,0.32214020663008214,1.0797185189753602,1.0875536315342542,0.6451114307681775,0.9006850576412473,1.0035975406464142,1.0257936415592797,1.0667523964337575,0.5463422082489405,1.3578331360800595
P002,0.34914683299873855,1.0395591994857851,0.8808926591030387,1.044949748874294,1.5530559546367726,1.3420042001111128,0.3705975176140822,0.2674614799686045,1.0193859388386446,0.39971136437702254,0.6888147204908336,1.0296339258834628,0.27492234585359526,0.20565124977735885,0.7880144007567643,0.708802906137039,0.6108122225040105,0.706725296963396,0.43665200901667955,0.2976183714209512,0.636518166650139,0.409800803882255,0.274975524761769,0.8857169039121869,0.6718885425766022,0.8455207054652096,0.4056787275791321,0.4891191486121241,0.40340837332400037,0.43021967644537445,0.763876916314373,0.45619455144232435,0.8255158347832019,0.8191154917385679,1.6345705520003961,0.32005995605307436,1.0514429274266825,0.6623168095631127,0.6882488310069597,0.30927499134376035,0.5449950687877625,0.9867224148982207,0.6646963567603931,0.7219185571614382,0.5965640510190874,1.1767648266199857,0.6856600224359277,0.19418320502643072,0.479975890286133,0.2247762036854023,0.09775578257017063,0.5247215622362161,1.2650796311187162,0.7097751340316151,0.3647037879305382,0.4171515003064985,1.1651949400312893,0.7498375542245116,0.7100880240097196,0.6746106067274836,0.7066775874156925,1.0142553896728974,0.9051318027149581,0.7714909941237886,0.3933285619190302,0.8879511015535564,0.482067589235105,1.1475554365750853,0.34413165302193344,0.6461394369746524,0.6905750966974346,0.33335271911804465,1.4674198186775702,1.3296017874702764,0.5439987409923115,0.9992921463759888,0.834441189586542,0.14884675789196947,0.7846219042247498,0.6719072245499923,0.722697358402928,0.38564947571084596,0.603312702880414,0.6327016434385939,1.1930561792673486,0.8170313558005815,0.6912048100624061,1.3651200084567603,0.5175761189680158,0.5661068818431463,0.24713083922187673,1.386115719237053,1.0865724727161576,1.0646712599794577,0.9544196844402337,0.7324421308061868,0.7714097902445134,0.6088296642737381,0.624423890032423,0.7123340528238891
P003,1.356199158120075,0.906433226269368,0.672895449101125,0.5107818943193876,0.4953944414153319,1.403805891957532,0.8861308347497185,0.7170693384577052,0.5793059601384503,0.37849674419509904,0.6700194266142403,1.0449674114146577,0.5651673387438967,0.6167718479587709,0.6187746187114344,0.7322406982136906,0.28358367961815306,0.6141479330703572,0.4381698252109221,1.0499328321501067,0.4593766654139789,0.9153715826887648,1.3627583542655077,0.5893999188722259,0.5045996322093962,0.7623913803496157,0.6924372730601377,0.40467098538234253,0.867425285023931,1.6291394588709374,0.6068830292527649,0.6246593698398939,0.39285902802532496,0.8110515359177497,0.34906779427447643,0.3789651319506248,1.2381463318032755,0.42563544416431404,1.1415967593433627,1.362716974980139,0.788024872933326,0.9054753777633069,1.593694180887631,0.6266608705402703,0.5069811857855729,0.3277208187743814,0.7078511980813146,1.3392643796065633,1.0843764963154274,0.416819409245594,0.4379265307266446,0.532176169941595,0.800663923871171,0.6238678200353776,0.7710203382247132,0.8023896180279536,0.5940340110222906,0.6791851519087195,0.7680664129183226,0.6641895904731481,0.8848286727213119,1.5485704800311708,0.9216495592340634,0.712871642218301,0.2678811567426931,0.8381227509469192,0.22791228715739137,0.31695819348141974,1.0363567741802,0.9705728742040336,0.6420449038772409,0.26397589023613094,0.5715978838159934,0.4835442957281842,0.9406793616403621,1.7676295739202557,0.7719524400147709,0.4571346941877821,0.3651305858622921,0.6737068972215635,0.6331827621963402,0.3692247827666708,0.7347005195714237,0.36935568702390004,1.1562987165354135,1.1327018574319245,1.1432144138591591,0.5409311590259483,0.889357287204485,0.6479908176919935,0.5662939778991254,0.5814746799556332,0.33833083598329616,0.3103940267497387,1.00931440421023,0.6284530911985443,0.7717620716701933,1.1039862102278821,0.2602441180418876,0.4558983488600235
P004,0.7563961614283223,0.8397674190427858,0.5698547983242848,1.116880236234324,0.7694942566703964,0.3560545025335176,0.4195292344627381,1.0142845728191239,0.8686080151681905,0.2347962857777898,1.2722004325119314,0.9242037644676339,1.2699998965611918,0.5678425109694927,0.5949963015406047,0.3746738876868374,1.9322896143897044,0.6336225491259728,1.395805066808081,0.49204123705613645,0.7521348886431708,0.2703198208373691,0.5680954047793821,1.0956020621363742,0.3480855960286655,1.1372508922414921,0.818130223600909,0.39308219458099186,0.5329201082346913,0.5453269394300309,0.6759655998570032,0.5230007588835303,0.4449432523484864,0.5922131412088806,0.396979601022965,0.3403832457824198,0.6764275645712678,1.04915453170825,0.2947692142732128,0.694375787383652,0.49131701595261634,0.40852286881559596,1.0358141181700893,0.5281440339361184,1.3491779659500063,0.45699904135921554,0.8375448649391997,0.6167588227259206,0.463666290974544,0.919839370953051,0.6403737594473691,0.9263938702124078,0.6767321315871176,0.38365093080782103,0.6580609202489863,0.7114968153324761,1.083851888927388,0.42543748981754426,0.6794764727125903,0.26205466123514953,0.9469446893828624,0.38461843153961095,0.24872872181256195,0.6726360544880645,1.1532198181682438,0.295650436077193,0.3831561899487227,0.46646407331847695,0.37400949837026576,0.8347390325845031,0.4499736117434515,0.47216951687362585,0.9180009080617585,0.4632787047631113,0.856048652152042,0.40987695057828955,0.3563153650187156,0.2442801170692966,1.5432424375000695,0.5873255662217016,0.7821640288937927,0.6823389006649114,0.7507002279650603,0.710688651426779,1.5692103957953647,0.3942266819925312,0.2897858826652123,0.4004159561460807,0.3313607830484062,0.9883761286998387,1.0209477719204272,0.4122527653034979,0.3205114092319059,0.5766588081208719,1.2941660619396917,0.13009977431881717,0.8943580431804097,0.38590034671538015,1.1221552643489723,0.3854145601505766
P005,0.5982329238918757,0.2989209428772051,0.4084964795570697,1.2914821996250672,1.0210375520434951,0.5624128570214894,0.4342656098545339,0.23556706691547422,0.5648290955306643,0.6823895354392443,0.6641608324342104,0.6608587207258034,0.3756916125968255,0.670220320518549,0.6797031022804282,1.2435676122259578,1.5462878803399613,0.6463499981235619,0.46048449193080576,0.6706620518260826,0.5029250234971233,0.46668359135264803,0.6728303028116984,0.39322930649192167,0.9276189049125355,0.6574379971117192,0.7844735918185489,0.6311666260879566,0.47065930367274006,0.41542111129918124,0.6135449915828444,0.5194134602530142,0.7783598881556025,0.6915972873898747,0.3259496284798028,0.7169155576974859,0.329754681457246,0.5004793406754182,0.5954210038156218,0.21021217154043895,0.7256875834487511,0.7473869568807179,0.639367446992778,0.5556236001236623,0.5709109030836544,0.408665144893743,0.6032006707322424,0.5183220931198695,0.7257518600954797,0.3579977596452952,0.7789993379757463,0.744529606151706,0.6448271395845577,0.5511944294927745,0.9050370102204752,0.2714411553430833,0.8672360808124653,0.7818238057511633,0.7972393451842432,0.8362790938310122,0.4903156244928829,0.6064538260418596,0.9407722180129491,0.8551869893439835,0.768111591115028,0.29746959503678555,0.8990249776467177,1.183991712125648,1.107714787334768,0.778351072953826,0.28974775889355403,1.0764925671317136,0.6429356107305477,0.15688654564901086,0.8338595540080667,0.3014818544461697,0.33898935274025166,0.4954052695078949,1.2346316496852843,0.5717512450649621,0.79248549044286,1.4814516548653036,1.399228452868457,0.657627610505707,0.612183435571453,0.3462117743256561,0.4793396631556818,0.8530638516399268,0.8412143585370179,0.7324747155053654,1.1007560891550847,0.4589206630542485,0.6737129914185018,0.981482173454789,0.9183543648774858,1.1366414853718163,0.8417279556144823,0.5907083206727928,0.8279280162068565,0.40258363213046905
P006,0.2756530956151629,0.9168939362143557,0.6740342804620537,0.8069051566699655,0.26598446514882057,0.573500275463493,0.5050766547738755,0.43573728751629565,0.18754300609006308,0.5827943835900646,1.0557294470900525,0.8353611624243242,0.5047743037368224,0.6879541447112192,0.9927052196735804,0.1352437741172582,0.650509036308465,0.90123221154768,0.9601250944593839,1.455998069294759,1.1673310685759264,0.8085161261302917,0.8044137722145146,1.0060390298860589,0.5220939320387783,0.6791802817033479,1.0598120698945301,1.596592502740756,0.6389564916614882,0.6763504183193506,0.7650262163976771,1.2699297745929048,0.6825938056508088,1.3342141624557873,0.41099107548317376,0.6301528129263498,0.6261927023230125,1.0058438325381385,1.1244666257844056,0.2983489212574237,0.4232954983465475,0.8179795192083668,0.4889472639587038,0.2960123949700659,1.1212645286796323,0.880908237907908,0.8805833814045673,0.5405232271716478,1.1167668580997243,0.612683867423093,1.1487931347491531,0.42413020892401754,0.43823441715716377,0.7673426937722861,0.47724428744456604,0.9572429139210668,0.7883154764422008,0.4214016375101419,0.7189753061378732,0.5777390308175011,1.0642057279498456,0.4960635589660019,0.551203840509892,1.2043704195590763,1.7565335110474871,1.6198607846216673,0.7155200400526535,0.7726771783175406,1.3674606852455542,0.650543094993948,0.408709841326846,0.7348900756264296,0.8636133016686557,0.4444754166707949,0.2745131055213693,0.3117290575474149,0.9529269946504986,0.4625363764203816,0.644898913179073,0.7703075192510159,0.9331442928945352,0.5827853199880875,0.8828548785470147,0.4293836894619539,0.5745397242721695,0.3975473942521422,1.1657508813396935,0.683712977014809,0.46750026397944555,0.5774030099882462,0.6185504601276035,0.9680897943605001,0.2831302264457527,0.39461927399604535,0.5695408138212871,1.9295223620089232,1.0825627451586308,0.6548997154484956,0.9730811682515552,1.6527966854415972
P007,0.6146795485640832,0.5731034150934655,1.2047167567787245,0.8809924428003132,0.9554681099097273,0.5310068740617697,1.5780810407206824,1.460757718861539,0.910720127237407,0.9610590271718924,0.21667134330997279,0.9410502683486632,0.6275151882181776,0.8565019133146202,0.9602680034233617,0.5808125637740807,0.26716424820264373,0.8301695425624881,0.4669577944955383,0.5842424092318022,0.5037864258342815,0.5807254525279535,0.18112071817083403,1.2071705813073843,0.7857444606455394,1.1559590786562464,1.6091138613600162,0.7010860381437919,0.2493341251841965,0.42844943550153836,0.35741499913675745,0.532839903027909,0.7214124803428615,0.22011472219774994,0.8201804453105468,0.29818422684178814,0.8026313712463833,0.6555593841349231,0.5893890150028966,0.6679088617815412,0.5219655356263814,0.5015845115154954,0.2684347451884138,0.6828313832885314,1.5346280080960557,1.6094796589714084,1.2591866078021938,0.9703844196069977,0.4841506545541627,1.3205275172196473,0.6736954801162188,0.6693312839510497,0.596403524998048,0.7258517464937826,0.5523788614866214,0.6642533011061119,0.38392248385970035,0.5708926201529628,1.7808976742818052,0.6690858953279832,0.6131006638346596,0.8967382667958863,0.9713934317456756,0.3774578008179752,0.6232678358763171,1.0653261761827126,0.7920434928497798,0.7367417776143631,1.3782053751468306,0.48380349031278913,0.7225275568299242,0.5276017104996339,1.34503730910592,0.22717407019395935,0.4858557750593391,0.5249955187778619,0.9521145106732938,0.927690303217775,1.2962350775345464,0.2868803631238355,0.9899206866868973,0.5957583033820422,0.4870736048354104,0.8997231413211741,0.4220836877801822,0.20999462375205935,0.5719423528393968,0.3004632093016898,0.49159977546519695,0.8316233643363425,0.8082975896326778,1.3954713202278788,0.6257075832612601,0.2940622827360342,0.46312760867172653,0.42226577921574204,0.35512383396205993,0.8570906538109415,0.49260190913208013,0.22357059346540903
P008,0.9665289645133319,0.6549081614809494,0.8258191730593166,0.7308341590460626,0.9384678191608488,0.7065422716917344,1.2166376225347197,0.8529129892667555,0.8397566153733456,0.8468549453658011,0.30801578072014457,0.6371839265218415,0.6064995256908359,0.7684245989106295,0.32665368019291613,1.4204360613488733,0.7303505054089133,0.3564876594541252,0.26415851241491084,0.5995350748752262,0.6622532580680895,0.47301911034724736,0.7259066339619485,0.4937073738774975,0.9047529085317225,0.47137256941398253,0.6797628878999687,1.0933128284959832,1.9531219683778032,0.4014139469040999,0.5437274068096932,0.4417976378324512,1.0048773683143635,0.36996446247808445,0.5379232684039361,0.6828403999198275,0.4081630889478671,0.41319735307009564,0.5404714436029825,0.20689598384144517,0.31009257624416403,0.5589981328865162,0.7463731046774928,0.6302432379440132,0.2537659624701074,0.5439392594942826,1.0111495083642068,0.906507331760899,0.6659652060197451,0.4300415306224933,0.9382810257400465,0.5109115578083316,0.3654097074933435,0.4512893380876133,1.323399578648016,0.7731766135703494,1.1790307575768857,0.5393869479378588,1.074465348162797,0.5046196614882942,0.639564815742013,1.9020896668177867,0.9972708974586051,0.5330435679854345,0.663901101191565,0.8138295944058556,1.2039885209706174,0.536533706626453,0.25893392212699634,0.600054640346588,0.6985465891250839,0.7322202018597513,1.2566176214896791,0.8101179267168162,1.0176096054607076,0.3802513976694911,1.042356898354468,1.6748026731696601,0.9998177367958707,0.78582431794551,0.7484947260916845,1.5027061313445764,0.42038915803484367,0.6550172185177613,0.86713633097446,0.9870753736782166,0.5517513662989236,0.8064833926300723,0.6005981915860177,0.7362007530084808,0.6479834616599559,0.3713749440930224,0.6857847297909286,1.0465534645959518,0.41090590342902816,0.6123210219745796,0.9526478075589985,0.3872222515666537,0.7591123104731565,0.38941524400222544
P009,1.1671308942300542,1.799713317932707,1.6329335869080954,0.6193735222184091,0.9854066216475981,0.736392845204013,0.7295226771653147,1.3749292659548744,0.33443886272393314,1.1292144250018974,0.6761524922573311,1.3030304707802765,0.7608245250928858,0.4851745327919204,0.7948433694948251,0.9835510602771269,0.7057428056768046,0.8784787902513445,0.5271379475733613,0.20256208799631134,1.056971061557284,0.9674994542600986,0.7463538687898509,0.7173775002558722,1.1202340760345348,0.5459035770590429,0.4761290392381473,0.629330649578241,1.1935453753977876,0.3211497916044216,1.1948788203207517,0.49423206088344485,0.3803333723471645,1.2284207719336737,0.65981053324951,0.3382265492792278,0.5754522129258878,1.0711967066156822,1.1949980129238746,0.5547940912310371,0.8454377079168001,0.9739893707984575,0.492766887277169,0.8251106192274693,0.6820521514429334,0.5230348429075752,0.5356579534492023,0.7168844582986139,0.7036504878815867,0.5146855974388213,0.555138012758154,1.1568888679631864,0.7707845427283707,1.0501646074041147,1.1997610069067939,0.9203308398418005,1.7752722850548688,0.44544221412584173,1.0155960490747389,0.5879834758578548,1.5402606386220974,1.4558423600317756,0.22683988451558165,0.41047022248811227,0.9524469454857821,1.0073369234636038,0.9838127472699256,0.6686518752196777,0.8650731925646331,0.9475996621331042,0.6662636062431435,1.115996440440695,0.18700715844655894,0.9393795107158072,0.3953395163638209,1.08395141123452,0.6163073822704257,0.42969485880881997,0.8325515281451472,0.4242104627734418,0.4238634525066252,0.2880588450764169,0.6838431556245413,0.8820783903515348,1.1139847743593712,0.6447722403976655,1.125693362003156,0.6994532807704397,0.6610291603993147,0.9139099979128279,1.1306825435303702,0.5807685620339086,0.6114656645682898,0.6384396907826811,0.7225359234436348,0.42686099907109065,1.1163278746492342,0.5627919143569687,0.8680441505815152,0.4453998073535108
